Scenario;Area;Period;Sex;Years
SSP1;Brazil;2035-2040;Male;78.3
SSP1;Brazil;2040-2045;Male;80
SSP1;Brazil;2045-2050;Male;81.7
SSP1;Brazil;2050-2055;Male;83.3
SSP1;Brazil;2055-2060;Male;85
SSP1;Brazil;2060-2065;Male;86.6
SSP1;Brazil;2065-2070;Male;88.3
SSP1;Brazil;2070-2075;Male;90
SSP1;Brazil;2075-2080;Male;91.8
SSP1;Brazil;2080-2085;Male;93.4
SSP1;Brazil;2085-2090;Male;95
SSP1;Brazil;2090-2095;Male;96.6
SSP1;Brazil;2095-2100;Male;97.9
SSP1;Brunei Darussalam;2020-2025;Male;74.3
SSP1;Brunei Darussalam;2025-2030;Male;76.6
SSP1;Brunei Darussalam;2030-2035;Male;78.5
SSP1;Brunei Darussalam;2035-2040;Male;80.5
SSP1;Brunei Darussalam;2040-2045;Male;82.3
SSP1;Brunei Darussalam;2045-2050;Male;84.2
SSP1;Brunei Darussalam;2050-2055;Male;86.1
SSP1;Brunei Darussalam;2055-2060;Male;88
SSP1;Brunei Darussalam;2060-2065;Male;89.8
SSP1;Brunei Darussalam;2065-2070;Male;91.6
SSP1;Brunei Darussalam;2070-2075;Male;93.5
SSP1;Brunei Darussalam;2075-2080;Male;95.2
SSP1;Brunei Darussalam;2080-2085;Male;96.8
SSP1;Brunei Darussalam;2085-2090;Male;98.2
SSP1;Brunei Darussalam;2090-2095;Male;99.4
SSP1;Brunei Darussalam;2095-2100;Male;99.5
SSP1;Bulgaria;2020-2025;Male;70.3
SSP1;Bulgaria;2025-2030;Male;74.7
SSP1;Bulgaria;2030-2035;Male;76.3
SSP1;Bulgaria;2035-2040;Male;78
SSP1;Bulgaria;2040-2045;Male;79.6
SSP1;Bulgaria;2045-2050;Male;81.2
SSP1;Bulgaria;2050-2055;Male;82.9
SSP1;Bulgaria;2055-2060;Male;84.6
SSP1;Bulgaria;2060-2065;Male;86.2
SSP1;Bulgaria;2065-2070;Male;87.9
SSP1;Bulgaria;2070-2075;Male;89.5
SSP1;Bulgaria;2075-2080;Male;91.2
SSP1;Bulgaria;2080-2085;Male;92.8
SSP1;Bulgaria;2085-2090;Male;94.4
SSP1;Bulgaria;2090-2095;Male;95.7
SSP1;Bulgaria;2095-2100;Male;97.3
SSP1;Burkina Faso;2020-2025;Male;59
SSP1;Burkina Faso;2025-2030;Male;61.7
SSP1;Burkina Faso;2030-2035;Male;63.6
SSP1;Burkina Faso;2035-2040;Male;65.3
SSP1;Burkina Faso;2040-2045;Male;66.9
SSP1;Burkina Faso;2045-2050;Male;68.6
SSP1;Burkina Faso;2050-2055;Male;70.3
SSP1;Burkina Faso;2055-2060;Male;71.8
SSP1;Burkina Faso;2060-2065;Male;73.4
SSP1;Burkina Faso;2065-2070;Male;75
SSP1;Burkina Faso;2070-2075;Male;76.6
SSP1;Burkina Faso;2075-2080;Male;78.2
SSP1;Burkina Faso;2080-2085;Male;79.8
SSP1;Burkina Faso;2085-2090;Male;81.4
SSP1;Burkina Faso;2090-2095;Male;82.9
SSP1;Burkina Faso;2095-2100;Male;84.5
SSP1;Burundi;2020-2025;Male;60.6
SSP1;Burundi;2025-2030;Male;62.8
SSP1;Burundi;2030-2035;Male;64.4
SSP1;Burundi;2035-2040;Male;66
SSP1;Burundi;2040-2045;Male;67.5
SSP1;Burundi;2045-2050;Male;69.1
SSP1;Burundi;2050-2055;Male;70.5
SSP1;Burundi;2055-2060;Male;71.9
SSP1;Burundi;2060-2065;Male;73.3
SSP1;Burundi;2065-2070;Male;74.7
SSP1;Burundi;2070-2075;Male;76.1
SSP1;Burundi;2075-2080;Male;77.5
SSP1;Burundi;2080-2085;Male;78.9
SSP1;Burundi;2085-2090;Male;80.2
SSP1;Burundi;2090-2095;Male;81.5
SSP1;Burundi;2095-2100;Male;82.8
SSP1;Cambodia;2020-2025;Male;68.7
SSP1;Cambodia;2025-2030;Male;71.3
SSP1;Cambodia;2030-2035;Male;72.7
SSP1;Cambodia;2035-2040;Male;74.1
SSP1;Cambodia;2040-2045;Male;75.4
SSP1;Cambodia;2045-2050;Male;76.8
SSP1;Cambodia;2050-2055;Male;78.1
SSP1;Cambodia;2055-2060;Male;79.5
SSP1;Cambodia;2060-2065;Male;80.9
SSP1;Cambodia;2065-2070;Male;82.3
SSP1;Cambodia;2070-2075;Male;83.7
SSP1;Cambodia;2075-2080;Male;85.1
SSP1;Cambodia;2080-2085;Male;86.5
SSP1;Cambodia;2085-2090;Male;87.9
SSP1;Cambodia;2090-2095;Male;89.2
SSP1;Cambodia;2095-2100;Male;90.5
SSP1;Cameroon;2020-2025;Male;61.9
SSP1;Cameroon;2025-2030;Male;66.2
SSP1;Cameroon;2030-2035;Male;68.1
SSP1;Cameroon;2035-2040;Male;70
SSP1;Cameroon;2040-2045;Male;71.9
SSP1;Cameroon;2045-2050;Male;74.7
SSP1;Cameroon;2050-2055;Male;76
SSP1;Cameroon;2055-2060;Male;77.3
SSP1;Cameroon;2060-2065;Male;78.6
SSP1;Cameroon;2065-2070;Male;79.9
SSP1;Cameroon;2070-2075;Male;81.2
SSP1;Cameroon;2075-2080;Male;82.5
SSP1;Cameroon;2080-2085;Male;83.8
SSP1;Cameroon;2085-2090;Male;85.1
SSP1;Cameroon;2090-2095;Male;86.4
SSP1;Cameroon;2095-2100;Male;87.7
SSP1;Canada;2020-2025;Male;81.5
SSP1;Canada;2025-2030;Male;83.2
SSP1;Canada;2030-2035;Male;84.7
SSP1;Canada;2035-2040;Male;86.3
SSP1;Canada;2040-2045;Male;87.9
SSP1;Canada;2045-2050;Male;89.4
SSP1;Canada;2050-2055;Male;91
SSP1;Canada;2055-2060;Male;92.6
SSP1;Canada;2060-2065;Male;94.1
SSP1;Canada;2065-2070;Male;95.6
SSP1;Canada;2070-2075;Male;97
SSP1;Canada;2075-2080;Male;98.3
SSP1;Canada;2080-2085;Male;99.4
SSP1;Canada;2085-2090;Male;100.3
SSP1;Canada;2090-2095;Male;100.8
SSP1;Canada;2095-2100;Male;100.8
SSP1;Cape Verde;2020-2025;Male;71.6
SSP1;Cape Verde;2025-2030;Male;74.7
SSP1;Cape Verde;2030-2035;Male;76.5
SSP1;Cape Verde;2035-2040;Male;78.2
SSP1;Cape Verde;2040-2045;Male;79.9
SSP1;Cape Verde;2045-2050;Male;81.6
SSP1;Cape Verde;2050-2055;Male;83.3
SSP1;Cape Verde;2055-2060;Male;85
SSP1;Cape Verde;2060-2065;Male;86.6
SSP1;Cape Verde;2065-2070;Male;88.3
SSP1;Cape Verde;2070-2075;Male;89.9
SSP1;Cape Verde;2075-2080;Male;91.6
SSP1;Cape Verde;2080-2085;Male;93.3
SSP1;Cape Verde;2085-2090;Male;95
SSP1;Cape Verde;2090-2095;Male;96.6
SSP1;Cape Verde;2095-2100;Male;98
SSP1;Central African Republic;2020-2025;Male;55.2
SSP1;Central African Republic;2025-2030;Male;60
SSP1;Central African Republic;2030-2035;Male;62.5
SSP1;Central African Republic;2035-2040;Male;64.8
SSP1;Central African Republic;2040-2045;Male;67.1
SSP1;Central African Republic;2045-2050;Male;70.4
SSP1;Central African Republic;2050-2055;Male;72.1
SSP1;Central African Republic;2055-2060;Male;73.7
SSP1;Central African Republic;2060-2065;Male;75.4
SSP1;Central African Republic;2065-2070;Male;77
SSP1;Central African Republic;2070-2075;Male;78.7
SSP1;Central African Republic;2075-2080;Male;80.4
SSP1;Central African Republic;2080-2085;Male;82
SSP1;Central African Republic;2085-2090;Male;83.6
SSP1;Central African Republic;2090-2095;Male;85.2
SSP1;Central African Republic;2095-2100;Male;86.8
SSP1;Chad;2020-2025;Male;52.4
SSP1;Chad;2025-2030;Male;55
SSP1;Chad;2030-2035;Male;57
SSP1;Chad;2035-2040;Male;59.1
SSP1;Chad;2040-2045;Male;61.1
SSP1;Chad;2045-2050;Male;63.1
SSP1;Chad;2050-2055;Male;65
SSP1;Chad;2055-2060;Male;66.9
SSP1;Chad;2060-2065;Male;68.7
SSP1;Chad;2065-2070;Male;70.5
SSP1;Chad;2070-2075;Male;72.2
SSP1;Chad;2075-2080;Male;74
SSP1;Chad;2080-2085;Male;75.7
SSP1;Chad;2085-2090;Male;77.4
SSP1;Chad;2090-2095;Male;79.1
SSP1;Chad;2095-2100;Male;80.8
SSP1;Chile;2020-2025;Male;78.2
SSP1;Chile;2025-2030;Male;80.9
SSP1;Chile;2030-2035;Male;82.4
SSP1;Chile;2035-2040;Male;84
SSP1;Chile;2040-2045;Male;85.6
SSP1;Chile;2045-2050;Male;87.2
