"iso3","year","conflict","trade","exp_health","exp_edu"
"LAO",2016,0,-2.11526260267802,-0.165620620510382,-3.42194882577945
"LAO",2017,0,-1.92935828554985,-0.355325100570154,-3.52241021018179
"LAO",2018,0,-1.72850988953184,-0.321042502475484,-3.74245585537717
"LAO",2019,0,-2.09287489280504,-0.147265331752696,-3.62444490115135
"LAO",2020,0,-1.94770728487943,-0.061188722317719,-3.93317554668159
"LAO",2021,0,-1.99591619760193,-0.159743429869747,-3.89761954710091
"LVA",1990,0,-2.13091197647638,-1.72196887190906,-1.22342736754311
"LVA",1991,1,-2.16578618065983,-1.80062839653065,-0.659542048198139
"LVA",1992,0,-2.04077090792811,-1.79660291656949,-0.657598097886862
"LVA",1993,0,-2.12629831149738,-1.63538500620799,-0.657237967606745
"LVA",1994,0,-2.2780403285323,-1.5490896133135,-0.837188432973359
"LVA",1995,0,-2.12937673874339,-1.53237638422732,-0.925324984168842
"LVA",1996,0,-1.9564433926113,-1.55839145780772,-0.963667481539629
"LVA",1997,0,-1.97070035993025,-1.6329597012109,-0.904076555625022
"LVA",1998,0,-1.94921334834154,-1.52425230209848,-0.780334841118618
"LVA",1999,0,-2.06169971437134,-1.46884773118167,-0.849732329894281
"LVA",2000,0,-2.0434608458188,-1.45469604427765,-0.949902132644184
"LVA",2001,0,-1.99211773566989,-1.43387009475835,-0.888027302243901
"LVA",2002,0,-2.02548632086021,-1.41671672497523,-0.829163327128606
"LVA",2003,0,-2.01055625847564,-1.46560155954551,-0.835100877116223
"LVA",2004,0,-1.92341717760717,-1.19411386007893,-0.963852126723873
"LVA",2005,0,-1.85492859284881,-1.27427547463007,-1.11503854662748
"LVA",2006,0,-1.85589574394523,-1.18545567792436,-0.81610295761866
"LVA",2007,0,-1.89951118163006,-1.23767975958306,-0.559484105373083
"LVA",2008,0,-1.94294480972676,-1.23290135932788,-0.767611645683952
"LVA",2009,0,-1.99165872062826,-1.14372334322649,-0.809769738530065
"LVA",2010,0,-1.77835704192941,-1.13302626336066,-0.767741945034847
"LVA",2011,0,-1.63541207884683,-1.14437355082384,-0.947166404162362
"LVA",2012,0,-1.61349668364616,-1.26870346842382,-0.897627982949622
"LVA",2013,0,-1.6380963942515,-1.27532217259694,-0.917661039281561
"LVA",2014,0,-1.63711585422568,-1.27044284715529,-0.668796249035377
"LVA",2015,0,-1.66136960018988,-1.25140211228577,-0.889256146106395
"LVA",2016,0,-1.68944652142901,-1.21357435777521,-0.554184086591398
"LVA",2017,0,-1.64868030496732,-1.21559922994413,-0.590616484009929
